valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
,392,0.38030382990837097,,,,,
,393,0.3873303234577179,,,,,
,394,0.37527668476104736,,,,,
,269,,0.37527668476104736,7,,,
,396,0.3778441250324249,,,,,
,397,0.3819640278816223,,,,,
,398,0.3750190734863281,,,,,
,399,0.3680208623409271,,,,,
,400,0.384417325258255,,,,,
,274,,0.384417325258255,7,,,
,402,0.38707736134529114,,,,,
,403,0.3738641142845154,,,,,
,404,0.37220579385757446,,,,,
,405,0.38594189286231995,,,,,
,406,0.3686906397342682,,,,,
,279,,0.3686906397342682,7,,,
,408,0.37864744663238525,,,,,
,409,0.3748449385166168,,,,,
,410,0.3751738369464874,,,,,
,411,0.37141016125679016,,,,,
,412,0.3628690540790558,,,,,
,284,,0.3628690540790558,7,,,
,414,0.36993536353111267,,,,,
,415,0.37182366847991943,,,,,
,416,0.36936160922050476,,,,,
0.37869173288345337,417,,,,,,
,28,,,,0.37869173288345337,,
0.3886856138706207,419,,,,,,
,29,,,,0.3886856138706207,,
0.3864205479621887,421,,,,,,
,30,,,,0.3864205479621887,,
0.38126856088638306,423,,,,,,
,31,,,,0.38126856088638306,,
,287,,,7,,0.3837665915489197,
,287,,,7,,,0.3782528340816498
,427,0.38628318905830383,,,,,
,428,0.37387925386428833,,,,,
,289,,0.37387925386428833,8,,,
,430,0.3791411221027374,,,,,
,431,0.38019755482673645,,,,,
,432,0.37696459889411926,,,,,
,433,0.37990817427635193,,,,,
,434,0.3783527612686157,,,,,
,294,,0.3783527612686157,8,,,
,436,0.3674584627151489,,,,,
,437,0.39184656739234924,,,,,
,438,0.368953138589859,,,,,
,439,0.3710857331752777,,,,,
,440,0.35815930366516113,,,,,
,299,,0.35815930366516113,8,,,
,442,0.3770741820335388,,,,,
,443,0.37281334400177,,,,,
,444,0.3762687146663666,,,,,
,445,0.3734070062637329,,,,,
,446,0.38318338990211487,,,,,
,304,,0.38318338990211487,8,,,
,448,0.36944520473480225,,,,,
,449,0.3746697008609772,,,,,
,450,0.3782617449760437,,,,,
,451,0.37056875228881836,,,,,
,452,0.36445894837379456,,,,,
,309,,0.36445894837379456,8,,,
,454,0.3785772919654846,,,,,
,455,0.37910592555999756,,,,,
,456,0.37177330255508423,,,,,
,457,0.37012171745300293,,,,,
,458,0.3834965229034424,,,,,
,314,,0.3834965229034424,8,,,
,460,0.3633188009262085,,,,,
,461,0.377271831035614,,,,,
,462,0.3693067729473114,,,,,
,463,0.36842718720436096,,,,,
,464,0.3616938591003418,,,,,
,319,,0.3616938591003418,8,,,
,466,0.3631889224052429,,,,,
,467,0.3636851906776428,,,,,
,468,0.3698554039001465,,,,,
,469,0.37166956067085266,,,,,
0.3723425269126892,470,,,,,,
,32,,,,0.3723425269126892,,
0.3828248679637909,472,,,,,,
,33,,,,0.3828248679637909,,
0.38061803579330444,474,,,,,,
,34,,,,0.38061803579330444,,
0.37486016750335693,476,,,,,,
,35,,,,0.37486016750335693,,
,323,,,8,,0.37766140699386597,
,323,,,8,,,0.3734409809112549
,480,0.3783721327781677,,,,,
,324,,0.3783721327781677,9,,,
,482,0.3729308247566223,,,,,
,483,0.3749088943004608,,,,,
,484,0.3750455975532532,,,,,
,485,0.3728178143501282,,,,,
,486,0.3766210675239563,,,,,
,329,,0.3766210675239563,9,,,
,488,0.368318647146225,,,,,
,489,0.3670906126499176,,,,,
,490,0.38857489824295044,,,,,
,491,0.3617892563343048,,,,,
,492,0.36383873224258423,,,,,
,334,,0.36383873224258423,9,,,
,494,0.35862022638320923,,,,,
,495,0.37099090218544006,,,,,
,496,0.3692167103290558,,,,,
,497,0.37282684445381165,,,,,
,498,0.3642541766166687,,,,,
,339,,0.3642541766166687,9,,,
,500,0.37518438696861267,,,,,
,501,0.3662894070148468,,,,,
,502,0.3753040134906769,,,,,
,503,0.3759181499481201,,,,,
,504,0.36751270294189453,,,,,
,344,,0.36751270294189453,9,,,
,506,0.36096179485321045,,,,,
,507,0.3741103708744049,,,,,
,508,0.3782186210155487,,,,,
,509,0.3641767203807831,,,,,
,510,0.36397647857666016,,,,,
,349,,0.36397647857666016,9,,,
,512,0.37453460693359375,,,,,
,513,0.3554314970970154,,,,,
,514,0.3749750852584839,,,,,
,515,0.36760053038597107,,,,,
,516,0.3666168451309204,,,,,
,354,,0.3666168451309204,9,,,
,518,0.3607834577560425,,,,,
,519,0.36102670431137085,,,,,
,520,0.36088046431541443,,,,,
,521,0.3664143681526184,,,,,
,522,0.364719033241272,,,,,
,359,,0.364719033241272,9,,,
0.36756283044815063,524,,,,,,
,36,,,,0.36756283044815063,,
0.3782670199871063,526,,,,,,
,37,,,,0.3782670199871063,,
0.3761432468891144,528,,,,,,
,38,,,,0.3761432468891144,,
0.37001681327819824,530,,,,,,
,39,,,,0.37001681327819824,,
,359,,,9,,0.3729974925518036,
,359,,,9,,,0.36919036507606506
,534,0.3780931532382965,,,,,
,535,0.3689326345920563,,,,,
,536,0.37285155057907104,,,,,
,537,0.3730621635913849,,,,,
,538,0.3663756549358368,,,,,
,364,,0.3663756549358368,10,,,
,540,0.37174922227859497,,,,,
,541,0.37147650122642517,,,,,
,542,0.3646261692047119,,,,,
,543,0.3825666606426239,,,,,
,544,0.3610779345035553,,,,,
,369,,0.3610779345035553,10,,,
,546,0.35859498381614685,,,,,
,547,0.35417357087135315,,,,,
,548,0.3695680499076843,,,,,
,549,0.3676336705684662,,,,,
,550,0.37244921922683716,,,,,
,374,,0.37244921922683716,10,,,
,552,0.367697536945343,,,,,
,553,0.36965909600257874,,,,,
,554,0.3562316596508026,,,,,
,555,0.36677491664886475,,,,,
,556,0.3712514638900757,,,,,
,379,,0.3712514638900757,10,,,
,558,0.3642331063747406,,,,,
,559,0.3557254672050476,,,,,
,560,0.37168338894844055,,,,,
,561,0.3731120228767395,,,,,
,562,0.36288946866989136,,,,,
,384,,0.36288946866989136,10,,,
,564,0.36147722601890564,,,,,
,565,0.375385582447052,,,,,
,566,0.3598001301288605,,,,,
,567,0.37121686339378357,,,,,
